Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
1.320e-04,7.5,-0.0002
1.340e-04,7.3,-0.00068
1.360e-04,7.7,-0.0004
1.380e-04,7.9,-0.00072
1.400e-04,7.9,-0.00052
1.420e-04,7.9,-0.00016
1.440e-04,8.1,-0.00032
1.460e-04,8.3,-0.00024
1.480e-04,8.1,-0.00024
1.500e-04,8.1,-0.00028
1.520e-04,8.3,-0.0002
1.540e-04,8.3,-0.0002
1.560e-04,8.5,-0.00036
1.580e-04,8.5,-0.00024
1.600e-04,8.7,-4e-05
1.620e-04,8.7,-0.00052
1.640e-04,8.7,-0.0004
1.660e-04,8.9,-0.00028
1.680e-04,8.9,-0.00056
1.700e-04,8.9,-0.0004
1.720e-04,8.9,-0.00048
1.740e-04,9.1,-0.0006
1.760e-04,9.1,-0.00044
1.780e-04,9.1,-0.00048
1.800e-04,9.1,-0.0004
1.820e-04,9.1,-0.00056
1.840e-04,9.1,-0.00056
1.860e-04,9.1,-0.00032
1.880e-04,9.3,-0.00048
1.900e-04,9.3,-0.00044
1.920e-04,9.3,-0.00048
1.940e-04,9.3,-0.00056
1.960e-04,9.5,-0.00068
1.980e-04,9.7,-0.0008
2.000e-04,9.7,-0.00096
2.020e-04,9.7,-0.0006
2.040e-04,9.5,-0.00048
2.060e-04,9.7,-0.00072
2.080e-04,9.5,-0.00056
2.100e-04,9.7,-0.00068
2.120e-04,9.7,-0.00044
2.140e-04,9.7,-0.00028
2.160e-04,9.7,-0.00084
2.180e-04,9.9,-0.00072
2.200e-04,9.9,-0.00028
2.220e-04,9.9,-0.00104
2.240e-04,9.9,-0.0006
2.260e-04,9.9,-0.0006
2.280e-04,10.1,-0.00056
2.300e-04,9.9,-0.0004
2.320e-04,9.9,-0.0006
2.340e-04,9.9,-0.00044
2.360e-04,9.9,-0.00096
2.380e-04,10.1,-0.00048
2.400e-04,9.9,-0.00024
2.420e-04,10.1,-0.00088
2.440e-04,10.1,-0.00056
2.460e-04,10.1,-0.00088
2.480e-04,10.1,-0.00092
2.500e-04,9.9,-0.00072
2.520e-04,10.1,-0.00072
2.540e-04,9.9,-0.0004
2.560e-04,10.1,-0.00064
2.580e-04,9.9,-0.00052
2.600e-04,9.9,-0.00084
2.620e-04,9.9,-0.00068
2.640e-04,9.9,-0.0006
2.660e-04,9.9,-0.00064
2.680e-04,9.9,-0.00036
2.700e-04,10.1,-0.0006
2.720e-04,9.7,-0.00076
2.740e-04,9.9,-0.00044
2.760e-04,9.7,-0.00072
2.780e-04,9.7,-0.00064
2.800e-04,9.7,-0.00052
2.820e-04,9.7,-0.00084
2.840e-04,9.3,-0.00064
2.860e-04,9.7,-0.00092
2.880e-04,9.7,-0.00096
2.900e-04,9.7,-0.00084
2.920e-04,9.5,-0.00084
2.940e-04,9.5,-0.00064
2.960e-04,9.3,-0.00052
2.980e-04,9.3,-0.00072
3.000e-04,9.3,-0.00088
3.020e-04,9.3,-0.0008
3.040e-04,9.3,-0.0006
3.060e-04,8.9,-0.00076
3.080e-04,9.1,-0.00104
3.100e-04,8.9,-0.00072
3.120e-04,8.9,-0.00064
3.140e-04,8.9,-0.00068
3.160e-04,8.9,-0.00064
3.180e-04,8.9,-0.0008
3.200e-04,8.7,-0.00064
3.220e-04,8.5,-0.00128
3.240e-04,8.7,-0.00072
3.260e-04,8.5,-0.00096
3.280e-04,8.5,-0.00076
3.300e-04,8.5,-0.00092
3.320e-04,8.1,-0.00068
3.340e-04,8.3,-0.00064
3.360e-04,8.1,-0.00104
3.380e-04,7.9,-0.0006
3.400e-04,7.9,-0.00064
3.420e-04,7.9,-0.00108
3.440e-04,7.9,-0.00116
3.460e-04,7.9,-0.0006
3.480e-04,7.7,-0.00052
3.500e-04,7.5,-0.00088
3.520e-04,7.3,-0.0008
3.540e-04,7.5,-0.00088
3.560e-04,7.3,-0.00088
3.580e-04,7.3,-0.00068
3.600e-04,7.3,-0.00092
3.620e-04,6.9,-0.001
3.640e-04,7.1,-0.00088
3.660e-04,6.9,-0.0006
3.680e-04,6.9,-0.0006
