Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-1.96,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.605e+00,4.32,2.12
-4.604e+00,4.32,2.04
-4.603e+00,4.4,2.04
-4.602e+00,4.4,2.04
-4.601e+00,4.4,2.12
-4.600e+00,4.4,2.04
-4.599e+00,4.48,2.12
-4.598e+00,4.56,2.12
-4.597e+00,4.56,2.04
-4.596e+00,4.56,2.12
-4.595e+00,4.64,2.12
-4.594e+00,4.56,2.12
-4.593e+00,4.48,2.12
-4.592e+00,4.64,2.12
-4.591e+00,4.64,2.12
-4.590e+00,4.64,2.2
-4.589e+00,4.64,2.04
-4.588e+00,4.72,2.12
-4.587e+00,4.72,2.2
-4.586e+00,4.8,2.12
-4.585e+00,4.8,2.2
-4.584e+00,4.8,2.2
-4.583e+00,4.88,2.2
-4.582e+00,4.88,2.12
-4.581e+00,4.8,2.2
-4.580e+00,4.88,2.28
-4.579e+00,4.88,2.2
-4.578e+00,4.96,2.12
-4.577e+00,4.96,2.28
-4.576e+00,5.04,2.12
-4.575e+00,5.04,2.2
-4.574e+00,5.04,2.2
-4.573e+00,5.04,2.28
-4.572e+00,4.96,2.28
-4.571e+00,5.04,2.2
-4.570e+00,5.2,2.2
-4.569e+00,5.2,2.2
-4.568e+00,5.12,2.28
-4.567e+00,5.12,2.2
-4.566e+00,5.2,2.2
-4.565e+00,5.12,2.28
-4.564e+00,5.2,2.2
-4.563e+00,5.28,2.28
-4.562e+00,5.28,2.2
-4.561e+00,5.28,2.2
-4.560e+00,5.36,2.36
-4.559e+00,5.28,2.2
-4.558e+00,5.44,2.36
-4.557e+00,5.28,2.28
-4.556e+00,5.36,2.28
-4.555e+00,5.28,2.36
-4.554e+00,5.36,2.36
-4.553e+00,5.36,2.36
-4.552e+00,5.44,2.28
-4.551e+00,5.52,2.36
-4.550e+00,5.44,2.36
-4.549e+00,5.52,2.44
-4.548e+00,5.52,2.28
-4.547e+00,5.52,2.36
-4.546e+00,5.52,2.44
-4.545e+00,5.6,2.36
-4.544e+00,5.6,2.28
-4.543e+00,5.6,2.36
-4.542e+00,5.6,2.36
-4.541e+00,5.68,2.44
-4.540e+00,5.68,2.36
-4.539e+00,5.68,2.36
-4.538e+00,5.68,2.44
-4.537e+00,5.6,2.36
-4.536e+00,5.68,2.44
-4.535e+00,5.76,2.36
-4.534e+00,5.76,2.44
-4.533e+00,5.68,2.44
-4.532e+00,5.84,2.36
-4.531e+00,5.92,2.52
-4.530e+00,5.76,2.44
-4.529e+00,5.76,2.44
-4.528e+00,5.84,2.44
-4.527e+00,5.84,2.44
-4.526e+00,5.84,2.44
-4.525e+00,5.92,2.52
-4.524e+00,5.92,2.44
-4.523e+00,5.92,2.44
-4.522e+00,5.92,2.44
-4.521e+00,5.92,2.44
-4.520e+00,5.92,2.44
-4.519e+00,6,2.44
-4.518e+00,5.92,2.44
-4.517e+00,6,2.52
-4.516e+00,6,2.44
-4.515e+00,6.08,2.52
-4.514e+00,6,2.52
-4.513e+00,6,2.52
-4.512e+00,6,2.52
-4.511e+00,6.08,2.52
-4.510e+00,6.08,2.52
-4.509e+00,6.08,2.52
-4.508e+00,6.16,2.6
-4.507e+00,6.08,2.6
-4.506e+00,6.08,2.52
-4.505e+00,6.08,2.52
-4.504e+00,6.24,2.6
-4.503e+00,6.08,2.6
-4.502e+00,6.16,2.52
-4.501e+00,6.24,2.6
-4.500e+00,6.16,2.6
-4.499e+00,6.24,2.6
-4.498e+00,6.24,2.6
-4.497e+00,6.16,2.52
-4.496e+00,6.24,2.52
-4.495e+00,6.16,2.68
-4.494e+00,6.24,2.52
-4.493e+00,6.16,2.6
-4.492e+00,6.32,2.6
-4.491e+00,6.16,2.68
-4.490e+00,6.24,2.68
-4.489e+00,6.32,2.6
-4.488e+00,6.32,2.6
-4.487e+00,6.32,2.68
-4.486e+00,6.32,2.6
-4.485e+00,6.24,2.6
-4.484e+00,6.24,2.68
-4.483e+00,6.24,2.68
-4.482e+00,6.32,2.6
-4.481e+00,6.32,2.68
-4.480e+00,6.32,2.68
-4.479e+00,6.32,2.68
-4.478e+00,6.32,2.68
-4.477e+00,6.32,2.68
-4.476e+00,6.4,2.68
-4.475e+00,6.4,2.68
-4.474e+00,6.4,2.68
-4.473e+00,6.4,2.68
-4.472e+00,6.4,2.6
-4.471e+00,6.4,2.68
-4.470e+00,6.32,2.68
-4.469e+00,6.4,2.68
-4.468e+00,6.4,2.68
-4.467e+00,6.4,2.76
-4.466e+00,6.4,2.76
-4.465e+00,6.4,2.68
-4.464e+00,6.4,2.6
-4.463e+00,6.32,2.76
-4.462e+00,6.4,2.76
-4.461e+00,6.4,2.76
-4.460e+00,6.4,2.76
-4.459e+00,6.4,2.68
-4.458e+00,6.4,2.76
-4.457e+00,6.4,2.84
-4.456e+00,6.4,2.76
-4.455e+00,6.4,2.84
-4.454e+00,6.4,2.84
-4.453e+00,6.4,2.76
-4.452e+00,6.4,2.76
-4.451e+00,6.4,2.76
-4.450e+00,6.4,2.76
-4.449e+00,6.48,2.84
-4.448e+00,6.4,2.76
-4.447e+00,6.48,2.84
-4.446e+00,6.4,2.76
-4.445e+00,6.32,2.92
-4.444e+00,6.4,2.84
-4.443e+00,6.4,2.92
-4.442e+00,6.4,2.84
-4.441e+00,6.4,2.92
-4.440e+00,6.48,2.84
-4.439e+00,6.4,2.92
-4.438e+00,6.32,2.84
-4.437e+00,6.4,2.92
-4.436e+00,6.24,2.92
-4.435e+00,6.4,2.76
-4.434e+00,6.4,2.84
-4.433e+00,6.4,2.92
-4.432e+00,6.4,2.84
-4.431e+00,6.4,2.92
-4.430e+00,6.24,3
-4.429e+00,6.4,2.92
-4.428e+00,6.32,2.84
-4.427e+00,6.32,2.84
-4.426e+00,6.32,2.92
-4.425e+00,6.4,2.92
-4.424e+00,6.4,2.92
-4.423e+00,6.32,3
-4.422e+00,6.32,2.92
-4.421e+00,6.32,3
-4.420e+00,6.32,3.08
-4.419e+00,6.32,3.08
-4.418e+00,6.32,2.92
-4.417e+00,6.24,3
-4.416e+00,6.32,2.92
-4.415e+00,6.32,3
-4.414e+00,6.24,3
-4.413e+00,6.16,2.92
-4.412e+00,6.24,3
-4.411e+00,6.16,3
-4.410e+00,6.24,3.08
-4.409e+00,6.24,2.92
-4.408e+00,6.16,3
-4.407e+00,6.08,3
-4.406e+00,6.08,3
-4.405e+00,6.16,3
-4.404e+00,6.16,3
-4.403e+00,6.08,3.08
-4.402e+00,6.08,3.08
-4.401e+00,6.08,3
-4.400e+00,6.08,3.08
-4.399e+00,6.08,3.08
-4.398e+00,6.08,3.08
-4.397e+00,5.92,3.08
-4.396e+00,5.92,3.08
-4.395e+00,5.92,3.08
-4.394e+00,6,3.08
-4.393e+00,5.92,3.08
-4.392e+00,6,3.16
-4.391e+00,5.84,3.08
-4.390e+00,6.08,3.16
-4.389e+00,5.92,3.16
-4.388e+00,5.92,3.08
-4.387e+00,5.92,3.16
-4.386e+00,5.84,3.08
-4.385e+00,5.84,3.08
-4.384e+00,5.76,3.16
-4.383e+00,5.84,3.08
-4.382e+00,5.76,3.24
-4.381e+00,5.76,3.16
-4.380e+00,5.76,3.24
-4.379e+00,5.68,3.24
-4.378e+00,5.52,3.16
-4.377e+00,5.6,3.24
-4.376e+00,5.68,3.16
-4.375e+00,5.52,3.16
-4.374e+00,5.6,3.32
-4.373e+00,5.6,3.16
-4.372e+00,5.52,3.24
-4.371e+00,5.52,3.24
-4.370e+00,5.52,3.24
-4.369e+00,5.52,3.16
-4.368e+00,5.44,3.24
-4.367e+00,5.52,3.32
-4.366e+00,5.44,3.32
-4.365e+00,5.44,3.32
-4.364e+00,5.36,3.24
-4.363e+00,5.36,3.24
-4.362e+00,5.36,3.24
-4.361e+00,5.36,3.24
-4.360e+00,5.28,3.24
-4.359e+00,5.36,3.24
-4.358e+00,5.28,3.32
-4.357e+00,5.28,3.24
-4.356e+00,5.2,3.32
-4.355e+00,5.12,3.32
-4.354e+00,5.12,3.32
-4.353e+00,5.12,3.24
-4.352e+00,5.12,3.32
-4.351e+00,5.04,3.24
-4.350e+00,5.12,3.4
-4.349e+00,5.12,3.32
-4.348e+00,5.04,3.32
-4.347e+00,5.04,3.32
-4.346e+00,4.96,3.32
-4.345e+00,4.96,3.4
-4.344e+00,4.88,3.32
-4.343e+00,4.88,3.4
-4.342e+00,4.88,3.32
-4.341e+00,4.8,3.48
-4.340e+00,4.8,3.4
-4.339e+00,4.8,3.4
-4.338e+00,4.8,3.32
-4.337e+00,4.88,3.32
-4.336e+00,4.8,3.32
-4.335e+00,4.72,3.4
-4.334e+00,4.72,3.32
-4.333e+00,4.64,3.4
-4.332e+00,4.64,3.4
-4.331e+00,4.64,3.4
-4.330e+00,4.56,3.48
-4.329e+00,4.64,3.48
-4.328e+00,4.56,3.56
-4.327e+00,4.48,3.48
-4.326e+00,4.56,3.4
-4.325e+00,4.48,3.4
-4.324e+00,4.4,3.4
-4.323e+00,4.32,3.4
-4.322e+00,4.4,3.48
-4.321e+00,4.32,3.48
-4.320e+00,4.32,3.4
-4.319e+00,4.4,3.4
-4.318e+00,4.4,3.56
-4.317e+00,4.32,3.48
-4.316e+00,4.24,3.48
-4.315e+00,4.24,3.48
-4.314e+00,4.16,3.48
-4.313e+00,4.08,3.48
-4.312e+00,4.16,3.4
-4.311e+00,4.08,3.48
-4.310e+00,4.08,3.56
-4.309e+00,4.08,3.64
-4.308e+00,4.08,3.48
-4.307e+00,4.08,3.56
-4.306e+00,4.08,3.56
-4.305e+00,4,3.56
-4.304e+00,4.08,3.64
-4.303e+00,4.08,3.56
-4.302e+00,3.92,3.48
-4.301e+00,3.92,3.56
-4.300e+00,3.92,3.56
-4.299e+00,3.92,3.56
-4.298e+00,3.92,3.56
-4.297e+00,3.84,3.64
-4.296e+00,3.84,3.56
-4.295e+00,3.84,3.56
-4.294e+00,3.84,3.64
-4.293e+00,3.76,3.64
-4.292e+00,3.76,3.48
-4.291e+00,3.84,3.64
-4.290e+00,3.68,3.72
-4.289e+00,3.84,3.64
-4.288e+00,3.76,3.64
-4.287e+00,3.68,3.64
-4.286e+00,3.68,3.64
-4.285e+00,3.68,3.72
-4.284e+00,3.6,3.56
-4.283e+00,3.52,3.72
-4.282e+00,3.6,3.64
-4.281e+00,3.6,3.64
-4.280e+00,3.44,3.72
-4.279e+00,3.44,3.72
-4.278e+00,3.44,3.64
-4.277e+00,3.44,3.64
-4.276e+00,3.44,3.72
-4.275e+00,3.36,3.72
-4.274e+00,3.44,3.72
-4.273e+00,3.36,3.64
-4.272e+00,3.44,3.72
-4.271e+00,3.36,3.72
-4.270e+00,3.36,3.64
-4.269e+00,3.28,3.72
-4.268e+00,3.36,3.72
-4.267e+00,3.2,3.72
-4.266e+00,3.28,3.72
-4.265e+00,3.2,3.72
-4.264e+00,3.2,3.72
-4.263e+00,3.12,3.8
-4.262e+00,3.12,3.72
-4.261e+00,3.2,3.8
-4.260e+00,3.12,3.72
-4.259e+00,3.12,3.8
-4.258e+00,3.04,3.72
-4.257e+00,2.96,3.8
-4.256e+00,3.04,3.8
-4.255e+00,3.04,3.72
-4.254e+00,2.96,3.8
-4.253e+00,3.04,3.8
-4.252e+00,2.96,3.88
-4.251e+00,2.96,3.8
-4.250e+00,2.88,3.8
-4.249e+00,2.8,3.8
-4.248e+00,2.88,3.88
-4.247e+00,2.88,3.88
-4.246e+00,2.72,3.88
-4.245e+00,2.8,3.88
-4.244e+00,2.72,3.88
-4.243e+00,2.72,3.88
-4.242e+00,2.72,3.88
-4.241e+00,2.8,3.88
-4.240e+00,2.8,3.8
-4.239e+00,2.64,3.88
-4.238e+00,2.64,3.8
-4.237e+00,2.56,3.88
-4.236e+00,2.72,3.88
-4.235e+00,2.64,3.88
-4.234e+00,2.64,3.88
-4.233e+00,2.56,3.88
-4.232e+00,2.56,3.88
-4.231e+00,2.4,3.88
-4.230e+00,2.48,3.88
-4.229e+00,2.56,3.88
-4.228e+00,2.4,3.96
-4.227e+00,2.56,3.88
-4.226e+00,2.4,3.88
-4.225e+00,2.4,3.88
-4.224e+00,2.4,3.88
-4.223e+00,2.48,3.88
-4.222e+00,2.4,3.96
-4.221e+00,2.4,3.96
-4.220e+00,2.4,3.88
-4.219e+00,2.4,3.96
-4.218e+00,2.32,3.96
-4.217e+00,2.32,3.88
-4.216e+00,2.24,3.96
-4.215e+00,2.32,3.96
-4.214e+00,2.32,3.96
-4.213e+00,2.32,3.96
-4.212e+00,2.24,3.96
-4.211e+00,2.16,3.96
-4.210e+00,2.24,3.96
-4.209e+00,2.16,4.04
-4.208e+00,2.08,3.96
-4.207e+00,2.16,3.96
-4.206e+00,2.16,4.04
-4.205e+00,2.08,3.96
-4.204e+00,2.16,3.96
-4.203e+00,2.16,3.96
-4.202e+00,2.16,3.96
-4.201e+00,2.08,4.04
-4.200e+00,2,3.96
-4.199e+00,2.08,3.96
-4.198e+00,2.08,3.96
-4.197e+00,2,4.04
-4.196e+00,2.08,4.04
-4.195e+00,2.08,4.04
-4.194e+00,2,4.04
-4.193e+00,2,4.04
-4.192e+00,2,4.04
-4.191e+00,1.92,4.04
-4.190e+00,2.08,4.04
-4.189e+00,1.92,3.96
-4.188e+00,1.92,4.04
-4.187e+00,1.84,4.04
-4.186e+00,1.92,3.96
-4.185e+00,1.92,4.12
-4.184e+00,1.92,4.12
-4.183e+00,1.92,3.96
-4.182e+00,1.92,4.12
-4.181e+00,1.84,4.2
-4.180e+00,1.84,4.12
-4.179e+00,1.84,4.12
-4.178e+00,1.84,4.04
-4.177e+00,1.84,4.04
-4.176e+00,1.92,4.04
-4.175e+00,1.92,4.12
-4.174e+00,1.92,4.04
-4.173e+00,1.92,4.04
-4.172e+00,1.84,4.12
-4.171e+00,1.76,4.2
-4.170e+00,1.84,4.12
-4.169e+00,1.84,4.12
-4.168e+00,1.84,4.12
-4.167e+00,1.84,4.2
-4.166e+00,1.76,4.12
-4.165e+00,1.84,4.12
-4.164e+00,1.76,4.12
-4.163e+00,1.76,4.2
-4.162e+00,1.76,4.2
-4.161e+00,1.84,4.2
-4.160e+00,1.76,4.28
-4.159e+00,1.76,4.2
-4.158e+00,1.76,4.2
-4.157e+00,1.84,4.2
-4.156e+00,1.84,4.12
