Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,0,-0.34
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.02e-01,3.12,1.82
-2.01e-01,3.12,1.82
-2.00e-01,3.12,1.82
-1.99e-01,3.12,1.78
-1.98e-01,3.04,1.82
-1.97e-01,3.04,1.82
-1.96e-01,3.12,1.78
-1.95e-01,3.04,1.82
-1.94e-01,3.04,1.78
-1.93e-01,3.04,1.74
-1.92e-01,2.96,1.74
-1.91e-01,2.88,1.74
-1.90e-01,2.88,1.7
-1.89e-01,2.88,1.7
-1.88e-01,2.8,1.62
-1.87e-01,2.72,1.62
-1.86e-01,2.8,1.62
-1.85e-01,2.8,1.58
-1.84e-01,2.72,1.54
-1.83e-01,2.8,1.5
-1.82e-01,2.64,1.42
-1.81e-01,2.64,1.42
-1.80e-01,2.56,1.38
-1.79e-01,2.56,1.38
-1.78e-01,2.56,1.3
-1.77e-01,2.56,1.18
-1.76e-01,2.56,1.22
-1.75e-01,2.48,1.18
-1.74e-01,2.48,1.1
-1.73e-01,2.48,1.06
-1.72e-01,2.4,1.02
-1.71e-01,2.48,0.98
-1.70e-01,2.48,0.98
-1.69e-01,2.4,0.94
-1.68e-01,2.32,0.86
-1.67e-01,2.4,0.82
-1.66e-01,2.32,0.78
-1.65e-01,2.32,0.74
-1.64e-01,2.24,0.74
-1.63e-01,2.24,0.7
-1.62e-01,2.24,0.7
-1.61e-01,2.24,0.66
-1.60e-01,2.24,0.62
-1.59e-01,2.16,0.54
-1.58e-01,2.08,0.58
-1.57e-01,2.08,0.54
-1.56e-01,2.08,0.5
-1.55e-01,2.08,0.5
-1.54e-01,2,0.42
-1.53e-01,1.92,0.42
-1.52e-01,2,0.38
-1.51e-01,1.92,0.42
-1.50e-01,2,0.38
-1.49e-01,1.84,0.38
-1.48e-01,1.84,0.34
-1.47e-01,1.84,0.34
-1.46e-01,1.76,0.34
-1.45e-01,1.76,0.34
-1.44e-01,1.76,0.34
-1.43e-01,1.76,0.34
-1.42e-01,1.68,0.34
-1.41e-01,1.68,0.34
-1.40e-01,1.6,0.34
-1.39e-01,1.6,0.34
-1.38e-01,1.6,0.38
-1.37e-01,1.6,0.38
-1.36e-01,1.52,0.42
-1.35e-01,1.44,0.42
-1.34e-01,1.44,0.38
-1.33e-01,1.52,0.46
-1.32e-01,1.52,0.46
-1.31e-01,1.44,0.54
-1.30e-01,1.44,0.5
-1.29e-01,1.44,0.54
-1.28e-01,1.44,0.54
-1.27e-01,1.28,0.58
-1.26e-01,1.36,0.58
-1.25e-01,1.28,0.62
-1.24e-01,1.2,0.66
-1.23e-01,1.2,0.7
-1.22e-01,1.2,0.74
-1.21e-01,1.12,0.74
-1.20e-01,1.2,0.78
-1.19e-01,1.12,0.82
-1.18e-01,1.04,0.86
-1.17e-01,1.04,0.86
-1.16e-01,1.12,0.9
-1.15e-01,1.04,0.98
-1.14e-01,1.04,1.02
-1.13e-01,0.96,1.1
-1.12e-01,0.96,1.1
-1.11e-01,0.96,1.14
-1.10e-01,0.96,1.18
-1.09e-01,0.8,1.26
-1.08e-01,0.88,1.34
-1.07e-01,0.88,1.34
-1.06e-01,0.8,1.38
-1.05e-01,0.8,1.46
-1.04e-01,0.8,1.46
-1.03e-01,0.64,1.5
-1.02e-01,0.72,1.5
-1.01e-01,0.64,1.54
-1.00e-01,0.72,1.58
-9.90e-02,0.64,1.62
-9.80e-02,0.56,1.66
-9.70e-02,0.56,1.62
-9.60e-02,0.56,1.7
-9.50e-02,0.48,1.66
-9.40e-02,0.48,1.7
-9.30e-02,0.48,1.74
-9.20e-02,0.4,1.74
-9.10e-02,0.48,1.7
-9.00e-02,0.4,1.7
-8.90e-02,0.48,1.7
-8.80e-02,0.4,1.74
-8.70e-02,0.32,1.74
-8.60e-02,0.4,1.74
-8.50e-02,0.32,1.78
-8.40e-02,0.24,1.74
-8.30e-02,0.32,1.74
-8.20e-02,0.24,1.74
-8.10e-02,0.24,1.78
-8.00e-02,0.16,1.74
-7.90e-02,0.16,1.78
-7.80e-02,0.08,1.78
-7.70e-02,0.16,1.78
-7.60e-02,0.08,1.78
-7.50e-02,0.08,1.78
-7.40e-02,0.08,1.78
-7.30e-02,0.08,1.82
-7.20e-02,0,1.7
-7.10e-02,0.08,1.78
-7.00e-02,0,1.7
-6.90e-02,0.08,1.78
-6.80e-02,0,1.78
-6.70e-02,0.16,1.74
-6.60e-02,0.16,1.78
-6.50e-02,0.16,1.7
-6.40e-02,0.16,1.74
-6.30e-02,0.16,1.74
-6.20e-02,0.16,1.7
-6.10e-02,0.24,1.7
-6.00e-02,0.24,1.74
-5.90e-02,0.24,1.74
-5.80e-02,0.32,1.74
-5.70e-02,0.24,1.7
-5.60e-02,0.4,1.7
-5.50e-02,0.4,1.7
-5.40e-02,0.4,1.7
-5.30e-02,0.4,1.7
-5.20e-02,0.56,1.7
-5.10e-02,0.56,1.7
-5.00e-02,0.48,1.66
-4.90e-02,0.56,1.66
-4.80e-02,0.56,1.66
-4.70e-02,0.56,1.66
-4.60e-02,0.56,1.62
-4.50e-02,0.64,1.66
-4.40e-02,0.56,1.62
-4.30e-02,0.72,1.62
-4.20e-02,0.64,1.62
-4.10e-02,0.64,1.58
-4.00e-02,0.72,1.66
-3.90e-02,0.72,1.7
-3.80e-02,0.8,1.7
-3.70e-02,0.8,1.74
-3.60e-02,0.8,1.7
-3.50e-02,0.88,1.74
-3.40e-02,0.88,1.78
-3.30e-02,0.96,1.78
-3.20e-02,1.04,1.74
-3.10e-02,0.96,1.78
-3.00e-02,1.04,1.74
-2.90e-02,1.04,1.74
-2.80e-02,1.04,1.78
-2.70e-02,1.04,1.74
-2.60e-02,1.12,1.74
-2.50e-02,1.12,1.78
-2.40e-02,1.04,1.74
-2.30e-02,1.12,1.78
-2.20e-02,1.28,1.7
-2.10e-02,1.2,1.74
-2.00e-02,1.28,1.7
-1.90e-02,1.2,1.7
-1.80e-02,1.28,1.74
-1.70e-02,1.2,1.66
-1.60e-02,1.28,1.66
-1.50e-02,1.36,1.62
-1.40e-02,1.44,1.62
-1.30e-02,1.28,1.58
-1.20e-02,1.52,1.58
-1.10e-02,1.44,1.54
-1.00e-02,1.36,1.5
-9.00e-03,1.44,1.46
-8.00e-03,1.44,1.42
-7.00e-03,1.6,1.38
-6.00e-03,1.6,1.34
-5.00e-03,1.44,1.3
-4.00e-03,1.6,1.22
-3.00e-03,1.68,1.18
-2.00e-03,1.68,1.14
-1.00e-03,1.76,1.14
0.00e+00,1.76,1.06
1.00e-03,1.84,1.02
2.00e-03,1.76,0.98
3.00e-03,1.84,0.94
4.00e-03,1.84,0.9
5.00e-03,1.84,0.86
6.00e-03,1.84,0.86
7.00e-03,1.92,0.74
8.00e-03,1.84,0.74
9.00e-03,2.08,0.74
1.00e-02,2,0.7
1.10e-02,1.92,0.62
1.20e-02,2,0.62
1.30e-02,2,0.62
1.40e-02,2,0.54
1.50e-02,2,0.58
1.60e-02,2.16,0.54
1.70e-02,2.16,0.54
1.80e-02,2.08,0.46
1.90e-02,2.16,0.46
2.00e-02,2.24,0.42
2.10e-02,2.16,0.42
2.20e-02,2.24,0.42
2.30e-02,2.32,0.38
2.40e-02,2.32,0.42
2.50e-02,2.32,0.38
2.60e-02,2.4,0.34
2.70e-02,2.4,0.34
2.80e-02,2.48,0.34
2.90e-02,2.4,0.34
3.00e-02,2.48,0.34
3.10e-02,2.48,0.34
3.20e-02,2.48,0.34
3.30e-02,2.48,0.34
3.40e-02,2.56,0.34
3.50e-02,2.56,0.38
3.60e-02,2.64,0.34
3.70e-02,2.56,0.38
3.80e-02,2.64,0.42
3.90e-02,2.64,0.42
4.00e-02,2.72,0.42
4.10e-02,2.64,0.42
4.20e-02,2.72,0.42
4.30e-02,2.8,0.54
4.40e-02,2.72,0.54
4.50e-02,2.8,0.58
4.60e-02,2.72,0.58
4.70e-02,2.88,0.58
4.80e-02,2.88,0.66
4.90e-02,2.96,0.7
5.00e-02,2.96,0.7
5.10e-02,2.96,0.74
5.20e-02,2.96,0.74
5.30e-02,3.04,0.86
5.40e-02,2.96,0.86
5.50e-02,3.04,0.9
5.60e-02,3.12,0.9
5.70e-02,3.12,0.98
5.80e-02,3.12,0.98
5.90e-02,3.12,1.02
6.00e-02,3.2,1.14
6.10e-02,3.2,1.1
6.20e-02,3.2,1.14
6.30e-02,3.2,1.18
6.40e-02,3.2,1.3
6.50e-02,3.36,1.26
6.60e-02,3.28,1.38
6.70e-02,3.36,1.38
6.80e-02,3.44,1.42
6.90e-02,3.36,1.5
7.00e-02,3.52,1.58
7.10e-02,3.36,1.54
7.20e-02,3.52,1.58
7.30e-02,3.52,1.62
7.40e-02,3.52,1.7
7.50e-02,3.6,1.7
7.60e-02,3.44,1.74
7.70e-02,3.52,1.74
7.80e-02,3.6,1.74
7.90e-02,3.68,1.74
8.00e-02,3.68,1.78
8.10e-02,3.76,1.78
8.20e-02,3.76,1.78
8.30e-02,3.76,1.82
8.40e-02,3.84,1.86
8.50e-02,3.76,1.82
8.60e-02,3.76,1.82
8.70e-02,3.76,1.82
8.80e-02,3.68,1.78
8.90e-02,3.6,1.78
9.00e-02,3.52,1.82
9.10e-02,3.6,1.78
9.20e-02,3.52,1.82
9.30e-02,3.52,1.78
9.40e-02,3.52,1.78
9.50e-02,3.52,1.82
9.60e-02,3.44,1.82
9.70e-02,3.44,1.82
9.80e-02,3.36,1.78
9.90e-02,3.36,1.82
1.00e-01,3.28,1.86
1.01e-01,3.28,1.86
1.02e-01,3.28,1.82
1.03e-01,3.36,1.82
1.04e-01,3.28,1.86
1.05e-01,3.28,1.82
1.06e-01,3.2,1.82
1.07e-01,3.2,1.82
1.08e-01,3.2,1.82
1.09e-01,3.2,1.82
1.10e-01,3.2,1.82
1.11e-01,3.04,1.78
1.12e-01,3.12,1.82
1.13e-01,3.04,1.78
1.14e-01,3.12,1.78
1.15e-01,2.96,1.82
1.16e-01,2.96,1.78
1.17e-01,2.88,1.74
1.18e-01,2.96,1.78
1.19e-01,2.88,1.7
1.20e-01,2.88,1.66
1.21e-01,2.8,1.7
1.22e-01,2.8,1.66
1.23e-01,2.72,1.58
1.24e-01,2.72,1.62
1.25e-01,2.64,1.62
1.26e-01,2.64,1.58
1.27e-01,2.72,1.54
1.28e-01,2.72,1.46
1.29e-01,2.64,1.42
1.30e-01,2.72,1.42
1.31e-01,2.64,1.34
1.32e-01,2.56,1.26
1.33e-01,2.64,1.26
1.34e-01,2.56,1.22
1.35e-01,2.48,1.18
1.36e-01,2.48,1.14
1.37e-01,2.56,1.02
1.38e-01,2.48,1.02
1.39e-01,2.4,0.98
1.40e-01,2.32,0.98
1.41e-01,2.32,0.94
1.42e-01,2.4,0.94
1.43e-01,2.32,0.82
1.44e-01,2.24,0.82
1.45e-01,2.24,0.82
1.46e-01,2.32,0.74
1.47e-01,2.24,0.7
1.48e-01,2.16,0.66
1.49e-01,2.16,0.66
1.50e-01,2.24,0.66
1.51e-01,2.16,0.54
1.52e-01,2,0.58
1.53e-01,2.16,0.54
1.54e-01,2.16,0.54
1.55e-01,2.08,0.46
1.56e-01,2,0.42
1.57e-01,1.92,0.46
1.58e-01,1.92,0.42
1.59e-01,1.92,0.46
1.60e-01,1.92,0.34
1.61e-01,1.92,0.34
1.62e-01,1.84,0.34
1.63e-01,1.84,0.34
1.64e-01,1.84,0.38
1.65e-01,1.76,0.34
1.66e-01,1.76,0.34
1.67e-01,1.68,0.38
1.68e-01,1.68,0.38
1.69e-01,1.76,0.34
1.70e-01,1.52,0.38
1.71e-01,1.6,0.34
1.72e-01,1.6,0.38
1.73e-01,1.6,0.38
1.74e-01,1.52,0.42
1.75e-01,1.52,0.42
1.76e-01,1.52,0.42
1.77e-01,1.44,0.46
1.78e-01,1.44,0.42
1.79e-01,1.52,0.46
1.80e-01,1.44,0.5
1.81e-01,1.44,0.5
1.82e-01,1.36,0.54
1.83e-01,1.36,0.58
1.84e-01,1.36,0.58
1.85e-01,1.28,0.62
1.86e-01,1.28,0.66
1.87e-01,1.28,0.7
1.88e-01,1.04,0.74
1.89e-01,1.2,0.74
1.90e-01,1.2,0.82
1.91e-01,1.12,0.86
1.92e-01,1.12,0.86
1.93e-01,1.12,0.9
1.94e-01,1.12,0.94
1.95e-01,1.04,0.94
1.96e-01,1.04,0.98
1.97e-01,0.96,1.1
1.98e-01,0.96,1.14
1.99e-01,0.88,1.18
2.00e-01,0.88,1.18
2.01e-01,0.88,1.26
2.02e-01,0.96,1.3
2.03e-01,0.8,1.34
2.04e-01,0.88,1.38
2.05e-01,0.88,1.38
2.06e-01,0.64,1.46
2.07e-01,0.8,1.54
2.08e-01,0.72,1.54
2.09e-01,0.72,1.58
2.10e-01,0.72,1.62
2.11e-01,0.56,1.62
2.12e-01,0.56,1.66
2.13e-01,0.56,1.7
2.14e-01,0.56,1.7
2.15e-01,0.56,1.66
2.16e-01,0.56,1.7
2.17e-01,0.48,1.74
2.18e-01,0.48,1.74
2.19e-01,0.48,1.74
2.20e-01,0.48,1.74
2.21e-01,0.4,1.74
2.22e-01,0.4,1.74
2.23e-01,0.4,1.78
2.24e-01,0.32,1.74
2.25e-01,0.24,1.74
2.26e-01,0.24,1.74
2.27e-01,0.24,1.74
2.28e-01,0.24,1.78
2.29e-01,0.32,1.74
2.30e-01,0.16,1.78
2.31e-01,0.24,1.78
2.32e-01,0.16,1.78
2.33e-01,0.08,1.78
2.34e-01,0,1.74
2.35e-01,0.08,1.74
2.36e-01,0.08,1.78
2.37e-01,0,1.74
2.38e-01,0.08,1.78
2.39e-01,0,1.78
2.40e-01,0,1.74
2.41e-01,0,1.74
2.42e-01,0,1.78
2.43e-01,0.08,1.78
2.44e-01,0.08,1.74
2.45e-01,0.08,1.78
2.46e-01,0.16,1.78
2.47e-01,0.16,1.78
2.48e-01,0.24,1.74
2.49e-01,0.24,1.74
2.50e-01,0.24,1.74
2.51e-01,0.24,1.74
2.52e-01,0.32,1.78
2.53e-01,0.4,1.7
2.54e-01,0.32,1.7
2.55e-01,0.4,1.7
2.56e-01,0.4,1.7
2.57e-01,0.4,1.66
2.58e-01,0.32,1.7
2.59e-01,0.4,1.7
2.60e-01,0.48,1.7
2.61e-01,0.56,1.62
2.62e-01,0.64,1.66
2.63e-01,0.48,1.66
2.64e-01,0.56,1.62
2.65e-01,0.64,1.66
2.66e-01,0.64,1.66
2.67e-01,0.72,1.62
2.68e-01,0.72,1.62
2.69e-01,0.64,1.58
