Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.740e-04,-2.6,-0.00044
-4.720e-04,-3,-0.00064
-4.700e-04,-2.2,-0.00068
-4.680e-04,-2.6,-0.00044
-4.660e-04,-3,-0.0006
-4.640e-04,-2.6,-0.00024
-4.620e-04,-3,-0.00036
-4.600e-04,-3,-0.00036
-4.580e-04,-3.4,-0.00052
-4.560e-04,-3.4,-0.00012
-4.540e-04,-3.4,-0.00028
-4.520e-04,-3.4,-0.00036
-4.500e-04,-3.4,-0.0004
-4.480e-04,-3.4,-0.00028
-4.460e-04,-4.2,-0.00012
-4.440e-04,-4.2,-8e-05
-4.420e-04,-4.2,-0.00056
-4.400e-04,-4.2,-0.0006
-4.380e-04,-4.2,-0.00036
-4.360e-04,-4.6,-0.0002
-4.340e-04,-5,-0.0004
-4.320e-04,-5,-0.0002
-4.300e-04,-5,-0.00024
-4.280e-04,-5,-0.0004
-4.260e-04,-5.4,4e-05
-4.240e-04,-5.4,-0.00028
-4.220e-04,-5.4,-0.00012
-4.200e-04,-5.8,-8e-05
-4.180e-04,-6.2,-0.00036
-4.160e-04,-5.8,-0.00024
-4.140e-04,-5.4,-0.00028
-4.120e-04,-5.8,-0.0002
-4.100e-04,-6.2,-0.0004
-4.080e-04,-6.2,-0.00028
-4.060e-04,-6.6,-0.0006
-4.040e-04,-7,-0.0004
-4.020e-04,-6.6,-4e-05
-4.000e-04,-7,0
-3.980e-04,-6.2,8e-05
-3.960e-04,-6.6,-4e-05
-3.940e-04,-7,-0.00024
-3.920e-04,-7.4,-0.00028
-3.900e-04,-7.4,-4e-05
-3.880e-04,-7.4,-8e-05
-3.860e-04,-7.4,4e-05
-3.840e-04,-7.4,0
-3.820e-04,-7.8,-0.00044
-3.800e-04,-7.4,0.00016
-3.780e-04,-7.8,0
-3.760e-04,-7.8,0
-3.740e-04,-8.2,-0.00044
-3.720e-04,-8.2,-4e-05
-3.700e-04,-7.8,-0.0002
-3.680e-04,-8.6,4e-05
-3.660e-04,-7.8,-4e-05
-3.640e-04,-7.8,-4e-05
-3.620e-04,-8.2,0.0002
-3.600e-04,-8.6,-0.0006
-3.580e-04,-8.6,-0.00012
-3.560e-04,-8.6,0.00012
-3.540e-04,-8.6,-0.0002
-3.520e-04,-9,-0.0002
-3.500e-04,-9,-4e-05
-3.480e-04,-9,0.00016
-3.460e-04,-9,-4e-05
-3.440e-04,-9.4,0.00024
-3.420e-04,-9.4,-4e-05
-3.400e-04,-9.4,-0.00012
-3.380e-04,-9,-4e-05
-3.360e-04,-9.4,0
-3.340e-04,-9.4,-0.00016
-3.320e-04,-9.4,-4e-05
-3.300e-04,-9.4,0.00016
-3.280e-04,-9.8,-0.00024
-3.260e-04,-9.8,4e-05
-3.240e-04,-9.8,-4e-05
-3.220e-04,-9.8,-0.0004
-3.200e-04,-9.8,0
-3.180e-04,-10.2,0
-3.160e-04,-9.8,-4e-05
-3.140e-04,-9.8,-4e-05
-3.120e-04,-9.8,4e-05
-3.100e-04,-10.6,-4e-05
-3.080e-04,-10.2,0.00012
-3.060e-04,-10.2,-4e-05
-3.040e-04,-10.2,-0.00016
-3.020e-04,-10.2,8e-05
-3.000e-04,-10.2,4e-05
-2.980e-04,-10.6,4e-05
-2.960e-04,-10.6,0.00016
-2.940e-04,-10.2,-0.00024
-2.920e-04,-10.2,-4e-05
-2.900e-04,-10.2,-0.00012
-2.880e-04,-10.6,0
-2.860e-04,-10.2,-0.00016
-2.840e-04,-10.6,0.00044
-2.820e-04,-10.2,0
-2.800e-04,-10.6,-4e-05
-2.780e-04,-10.6,0
-2.760e-04,-10.6,-4e-05
-2.740e-04,-10.6,0.00036
-2.720e-04,-11,0.00032
-2.700e-04,-11,0.00052
-2.680e-04,-10.6,0.00028
-2.660e-04,-10.6,0.00036
-2.640e-04,-11,0.00068
-2.620e-04,-10.6,0
-2.600e-04,-11,0.00016
-2.580e-04,-11,0.00024
-2.560e-04,-11,0.00016
-2.540e-04,-10.6,-4e-05
-2.520e-04,-10.2,-4e-05
-2.500e-04,-11,0.00044
-2.480e-04,-11,0.00032
-2.460e-04,-10.6,8e-05
-2.440e-04,-11,8e-05
-2.420e-04,-10.6,-0.00016
-2.400e-04,-11,0.00012
-2.380e-04,-10.6,0.00024
-2.360e-04,-10.6,0.0002
-2.340e-04,-10.6,0.00044
-2.320e-04,-10.2,0.00012
-2.300e-04,-11,0
-2.280e-04,-10.6,0.00032
-2.260e-04,-10.6,0.00012
-2.240e-04,-10.2,0
-2.220e-04,-10.2,0.00036
-2.200e-04,-10.2,0.00016
-2.180e-04,-10.6,0.00016
-2.160e-04,-10.6,0
-2.140e-04,-10.6,0.00028
-2.120e-04,-10.2,0.00028
-2.100e-04,-10.2,0.00052
-2.080e-04,-10.2,0
-2.060e-04,-10.2,0.0004
-2.040e-04,-10.2,0.00032
-2.020e-04,-10.2,4e-05
-2.000e-04,-9.8,-4e-05
-1.980e-04,-9.8,0.0004
-1.960e-04,-9.8,0.0002
-1.940e-04,-9.8,0.00028
-1.920e-04,-9.8,0.0002
-1.900e-04,-9.8,0.00016
-1.880e-04,-9.8,0.00052
-1.860e-04,-9.4,0.0002
-1.840e-04,-9.8,0.0004
-1.820e-04,-9.4,0.0002
-1.800e-04,-9.4,8e-05
-1.780e-04,-9,0.00012
-1.760e-04,-9.4,0.00016
-1.740e-04,-9,0.00016
-1.720e-04,-9,0.0002
-1.700e-04,-9,0.00044
-1.680e-04,-8.6,0.00024
-1.660e-04,-9.4,0.00024
-1.640e-04,-9,0.00052
-1.620e-04,-9,0.00028
-1.600e-04,-9,0.00028
-1.580e-04,-8.6,8e-05
-1.560e-04,-8.6,0.00016
-1.540e-04,-8.2,0.0002
-1.520e-04,-8.6,0.00024
-1.500e-04,-8.2,0.0004
-1.480e-04,-8.2,0.00056
-1.460e-04,-8.2,0.00024
-1.440e-04,-8.2,0.00036
-1.420e-04,-7.8,0.00044
-1.400e-04,-8.2,0.00016
-1.380e-04,-7.8,0.00012
-1.360e-04,-7.8,4e-05
-1.340e-04,-7.8,0.0002
-1.320e-04,-7.4,-0.00012
-1.300e-04,-7.8,0.00024
-1.280e-04,-7.4,0.00036
-1.260e-04,-7.8,0.00012
-1.240e-04,-7,0.00052
-1.220e-04,-7.4,0.00036
-1.200e-04,-7.4,0.00012
-1.180e-04,-7,8e-05
-1.160e-04,-7,0.00012
-1.140e-04,-7.4,0.0004
-1.120e-04,-7.4,8e-05
-1.100e-04,-7,0.00024
-1.080e-04,-7.4,0.0002
-1.060e-04,-6.6,0
-1.040e-04,-6.6,0
-1.020e-04,-6.2,-0.00012
-1.000e-04,-5.8,0.00028
-9.800e-05,-6.2,4e-05
-9.600e-05,-5.8,0.00032
-9.400e-05,-6.2,0.0004
-9.200e-05,-5.8,0.00032
-9.000e-05,-5.4,0
-8.800e-05,-5.8,0.00032
-8.600e-05,-5.4,0.00012
-8.400e-05,-5,-4e-05
-8.200e-05,-5,0.00032
-8.000e-05,-5,0.00012
-7.800e-05,-5,0.0004
-7.600e-05,-4.6,0.0002
-7.400e-05,-4.6,0.00028
-7.200e-05,-4.6,0.00024
-7.000e-05,-4.6,8e-05
-6.800e-05,-4.6,8e-05
-6.600e-05,-4.2,0.00012
-6.400e-05,-3.8,0.00048
-6.200e-05,-4.2,8e-05
-6.000e-05,-3.4,0.00016
-5.800e-05,-3.4,0.00052
-5.600e-05,-3.4,0.00024
-5.400e-05,-3.4,-8e-05
-5.200e-05,-3.4,0
-5.000e-05,-3.4,8e-05
-4.800e-05,-3,0.00016
-4.600e-05,-3.4,0
-4.400e-05,-2.6,0.00028
-4.200e-05,-2.6,0.00012
-4.000e-05,-2.6,0.00024
-3.800e-05,-2.6,0.00032
-3.600e-05,-2.2,0.00028
-3.400e-05,-2.6,8e-05
-3.200e-05,-2.2,0.00016
-3.000e-05,-1.8,8e-05
-2.800e-05,-1.8,-4e-05
-2.600e-05,-1.8,0.00016
-2.400e-05,-1.4,8e-05
-2.200e-05,-1.4,0.00024
-2.000e-05,-1,0.00024
-1.800e-05,-1.4,8e-05
-1.600e-05,-1.4,0.00012
-1.400e-05,-0.6,-8e-05
-1.200e-05,-1,-4e-05
-1.000e-05,-0.6,-0.00016
-8.000e-06,-0.6,-0.00036
-6.000e-06,-0.6,-4e-05
-4.000e-06,-0.2,-0.00024
-2.000e-06,-0.2,0.00028
0.000e+00,0.2,-4e-05
2.000e-06,0.2,0.00016
4.000e-06,0.2,0
6.000e-06,0.2,4e-05
8.000e-06,0.6,-4e-05
1.000e-05,0.6,0.00024
1.200e-05,0.6,0.00024
1.400e-05,1,4e-05
1.600e-05,1,-0.00012
1.800e-05,0.6,4e-05
2.000e-05,1.4,0.0002
2.200e-05,1,8e-05
2.400e-05,1.4,0.00016
2.600e-05,1.4,-0.00012
2.800e-05,1.4,0.00012
3.000e-05,1.8,0.00036
3.200e-05,1.8,-4e-05
3.400e-05,2.2,-4e-05
3.600e-05,2.2,8e-05
3.800e-05,2.2,8e-05
4.000e-05,2.2,0
4.200e-05,2.2,0.00016
4.400e-05,2.6,0.0002
4.600e-05,3,0.0002
4.800e-05,2.6,-4e-05
5.000e-05,3.4,4e-05
5.200e-05,3.4,4e-05
5.400e-05,3.8,0
5.600e-05,3.4,4e-05
5.800e-05,3.4,-8e-05
6.000e-05,3.4,-0.00024
6.200e-05,4.2,8e-05
6.400e-05,3.8,0.00032
6.600e-05,3.8,0.00016
6.800e-05,4.2,-0.00024
7.000e-05,4.2,-0.00016
7.200e-05,4.2,-0.00036
7.400e-05,4.6,0
7.600e-05,4.6,-0.0002
7.800e-05,5,4e-05
8.000e-05,4.6,-8e-05
8.200e-05,5,-0.00016
8.400e-05,5.4,-0.00044
8.600e-05,5,0.00012
8.800e-05,5.4,0.00044
9.000e-05,5,0.0002
9.200e-05,5.4,0.00016
9.400e-05,5.8,0.00036
9.600e-05,5.4,-8e-05
9.800e-05,5.8,-4e-05
1.000e-04,5.8,-8e-05
1.020e-04,6.2,4e-05
1.040e-04,6.2,-0.0004
1.060e-04,6.2,-0.00032
1.080e-04,6.2,-0.00028
1.100e-04,6.6,-0.0002
1.120e-04,6.6,-8e-05
1.140e-04,6.6,-0.00044
1.160e-04,7,-0.00028
1.180e-04,6.6,-4e-05
1.200e-04,7,0
1.220e-04,7,0.00032
1.240e-04,6.6,-0.00028
1.260e-04,7,0.00024
1.280e-04,7.4,-8e-05
1.300e-04,7.4,-0.00036
1.320e-04,7.8,-0.00028
1.340e-04,7.8,-4e-05
1.360e-04,7.4,-8e-05
1.380e-04,7.4,0
1.400e-04,7.8,-8e-05
1.420e-04,7.8,-0.00032
1.440e-04,7.8,-4e-05
1.460e-04,7.8,8e-05
1.480e-04,7.8,8e-05
1.500e-04,8.2,-8e-05
1.520e-04,8.2,-0.00012
1.540e-04,8.2,-0.00044
1.560e-04,8.6,-0.00028
1.580e-04,8.6,-4e-05
1.600e-04,7.8,-0.0004
1.620e-04,8.6,-8e-05
1.640e-04,8.6,0
1.660e-04,8.6,-0.00072
1.680e-04,9,-0.00036
1.700e-04,8.6,-0.00012
1.720e-04,9,-0.00028
1.740e-04,9,0
1.760e-04,9,-0.00024
1.780e-04,9,-0.00024
